375.31 382.3 387 393 402.01 416.3 428.3 
436.3 441.3 437.3 430.3 422.3 412.31 404.3 
397.3 388.3 384.3 376.3 371.3 359.3 352.3 
377 379.01 382.01 386.01 394 406 420.3 
430.3 430.3 425.3 420.3 408.31 398.3 387.3 
381.3 375.3 367.3 362.3 358 352 344 
379.3 379.01 379 382 388.01 398.3 411.3 
420.31 420.31 412.31 404.31 395.3 385.3 374.3 
367.31 362.31 356.31 350.01 347.01 344.01 337.01 
382.3 379.31 379 380.3 385.3 393.31 402.31 
408.3 408.3 398.3 390.31 381.31 373.31 366.31 
360 352 347 342 338 335 333 
387.3 383.3 381.31 381 383.3 387.3 395.3 
404.3 400.3 392.3 380.31 375 366 359 
352 345 340 335 333 332 331 
394.3 390.3 385.31 384.3 386.3 393.3 402.3 
407.3 407.3 400.3 390.31 378.3 366 354 
348 341 335 332 330 330 330 
398.3 393.3 387.3 385.01 390.3 402.3 411.3 
426.3 425.3 407.3 393.31 380.3 370.3 358 
349 343 336 332 330 330 329 
395.3 390.3 382.3 380.01 389.3 404.3 427.3 
452.3 445.3 410.3 392.01 381.3 370.3 360.3 
350 343 337 334 332 330 329 
388.3 379.3 374 378 390.01 404.3 430.3 
460.3 440.3 410.3 392.31 382.3 372.3 360.3 
351 346 342 339 333 330 329 
381.3 373 370 375 385.01 402.3 421.3 
426.3 417.3 405.3 393.31 384 374.3 363.3 
355.3 348 344 340.3 334 332 332 
375 368 367 371 378 388.31 397.3 
400.3 397.3 394.31 388.3 382.3 374.3 365.3 
356.3 349.3 345.3 340.3 334 334 335 
368 362 359 364 370 377.01 383.3 
385.31 383.31 381.3 381.3 378.3 369.3 361.3 
354.3 347.3 341 337 334 336 341 
359 356 355 357 360 367 371.01 
374.3 373 369 373.3 372.3 363.3 356.3 
350.3 345.3 340 339 338 339 344 
358 353 350 350 355 357 359.01 
362 361 359 361 362 358 354 
350 345 341 341.3 342.3 343 347 
360.01 354 348 346 346 349 351.01 
355 354 353 355 357 356 355 
350 347 344 344.3 346 348 351 
356 353.01 349.01 346 343 341 344 
346.01 347 346 349 352 353 351 
350 349 348 348 350 353 357 
354 351 348 346.01 342.01 340 340 
341 342.01 342 344 346 347 349 
350 351 351 351 354 357 363.31 
353 350 346 345 341 340.01 337.01 
336.01 338.01 339 340 342 344 347 
349 353 354 355 357 359.01 366.3 
351 348 345 341.01 340.01 339 336 
335 335 337.01 338 339 342 346 
349 355 357 358 360.01 364 369 
